Frequency (Hz),Channel 1 Magnitude (dB),Channel 2 Magnitude (dB)
3.000000000000001,0.0259323559067654,16.67286870204516
3.215687072247444,0.02579364064940015,17.00382214852797
3.446881115539777,0.02769263303293023,17.31288150629448
3.6946970142717,0.02210332011740986,17.60933103082319
3.960329808221577,0.02444780297713845,17.87436247073289
4.245060455378104,0.02480527426241498,18.12226060982582
4.550262009089413,0.02420495748199596,18.35329987892496
4.877406239322498,0.02573218248178712,18.56239421536738
5.22807072996279,0.0222160649825698,18.75755954820379
5.603946486378864,0.02344586641993369,18.93316715800266
6.006846089938328,0.0235823426776198,19.08939424497539
6.43871243879826,0.02060330591900565,19.23642006899904
6.901628117120787,0.02005142335677819,19.36654017793568
7.397825437894923,0.02188985181384232,19.48082015964037
7.929697207794008,0.01984958122380575,19.58806874758712
8.499808265979926,0.02307953095185454,19.67704912405659
9.110907852497881,0.02432330613187988,19.75795755078498
9.765942865905046,0.02334205319019918,19.83318166531717
10.468072074066,0.02328146267073684,19.89827389834924
11.22068134664283,0.01997341479474939,19.95868421328148
12.02739998273579,0.009973200191575294,20.0210882842517
12.89211821241087,0.02004811091890758,20.05431149352674
13.81900595651182,0.02125649542523077,20.09198022431447
14.81253293522181,0.01994483176438668,20.12961057037621
15.87749022234408,0.01303013508697261,20.16711807059701
17.01901334924234,0.02175685440275498,20.18681255376003
18.24260706985509,0.01979305903599943,20.21256523270228
19.55417190620759,0.02061824841756963,20.23236172055273
20.96003260243197,0.01938839509584843,20.25179001459092
22.46696862450846,0.021379820577513,20.26534345898261
24.08224685280692,0.02205989694303758,20.28079127151393
25.81365662508098,0.02078782507882456,20.29412313910217
27.66954729890248,0.02022009529895638,20.30458618185094
29.65886851467328,0.02208609422925772,20.31516564596625
31.79121335337385,0.02112935113187267,20.32401928926743
34.07686459716821,0.02283200856809033,20.32886366992015
36.52684431594678,0.0208341212995611,20.33926746537281
39.15296701892834,0.02234736388809875,20.34102594027706
41.96789662763282,-0.00468068866132925,20.37466166941378
44.98520754496524,0.05233131035940292,20.32180813441886
48.21945011490427,-0.1493205717905581,20.52985316902139
51.68622078845942,-0.104257298376506,20.48816740090089
55.40223733425864,-0.1273512463118359,20.51474399378595
59.38541945645336,0.05025696224422037,20.33825041159424
